Item,HH_PN,DESCRIPTION,MFG,MFG_PN,Qty,Location,CCL,ROHS,REMARK,BOM,ADD,PROTO,ROOM,PSL,PCB_MOUNTING,SIDE_TYPE,SUB_SYSTEM
1,?,Single Impedance Coupon,?,?,11,"CPN1,CPN2,CPN3,CPN4,CPN5,CPN6,CPN7,CPN8,CPN9,CPN10,CPN62",-1,?, ,I, , ,TBD,?,?,?, 
2,?,test coupon,?,?,24,"CPN13,CPN14,CPN15,CPN16,CPN17,CPN18,CPN19,CPN20,CPN25,CPN26,CPN27,CPN28,CPN29,CPN30,CPN31,CPN32,CPN37,CPN38,CPN39,CPN40,CPN41,CPN42,CPN43,CPN44",1,?, ,I, , ,TBD,?,?,?, 
3,?,Differential Impedance Coupon,?,?,13,"CPN47,CPN48,CPN49,CPN50,CPN52,CPN53,CPN54,CPN55,CPN57,CPN58,CPN59,CPN60,CPN61",-1,?, ,I, , ,?,?,?,?, 
4,?,?,?,?,4,"MH13,MH14,MH15,MH16",1,?, ,I, , ,TBD,?,?,?, 
5,?,SLOT HOLE,?,?,20,"MH22,MH23,MH24,MH25,MH26,MH27,MH28,MH29,MH30,MH31,MH32,MH33,MH34,MH35,MH36,MH37,MH38,MH39,MH40,MH41",1,?, ,I, , ,TBD,?,?,?, 
6,?,"Pad 20 mil,Drill 10 mil",?,?,16,"TP1,TP2,TP3,TP4,TP6,TP7,TP9,TP10,TP11,TP13,TP14,TP15,TP16,TP17,TP18,TP98",0,?, ,I, , ,?,?,?,?, 
7,?,"Pad 24 mil,Drill 12 mil",?,?,16,"TP99,TP100,TP101,TP102,TP103,TP104,TP105,TP106,TP107,TP108,TP109,TP110,TP111,TP112,TP113,TP114",0,?, ,I, , ,?,?,?,?, 
8,?,"Pad 20 mil,Drill 10 mil",?,?,20,"TP12,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP36,TP44,TP45,TP53,TP60,TP63,TP68,TP76,TP85",-1,?, ,I, , ,?,?,?,?, 
9,07000671-G,"Label, White, Blank, 0.25"" x 1.25"", Polyamide with Kapton Laminate, RoHS",FOXCONN,07000671,2,"LBL1,LBL2",1,?, ,I, , ,TBD,?,?,?, 
10,1067011-G,1067011_BRKT_SAB_0901,GOOGLE,1067011,1,MECH40,1,Yes, ,I, , ,TBD,-,?,?, 
11,1A52T9H00-GRS-G,"SKT 4926 ILM Assembly,G,00",LOTES,AZIF0222-P001C56,2,"ILM1,ILM2",1,Yes, ,I, , ,MECHANICAL,-,?,?, 
12,1A52T9J00-GRS-G,"SKT 4926 BP_Symmetrical,G,00",LOTES,AHSK0053-P002C56,2,"PLATE1,PLATE2",1,Yes, ,I, , ,MECHANICAL,-,?,?, 
13,210131K00-183-G,"Chipset,QFN,10P,G",TI,TLA2024IRUGR,1,U161,1,YES, ,I, , ,TBD,TBD,SMD,?, 
14,21050F900-217-G,"ASIC,Clock,B,SOIC,8P,G",IDT,2305B-1DCG8[VER.B],1,U51,1,Yes, ,I, , ,BMC_SIDEBAND,TBD,SMD,?, 
15,21050S800-217-G,"ASIC,Clock,VFQFPN,64P,G",IDT,9ZXL1231EKILFT,1,U277,1,Yes, ,I, , ,TBD,TBD,SMD,?, 
16,21050W500-426-G,"ASIC,Clock,9FGL0841CKILFT,,VFQFPN,48P,G",IDT,9FGL0841CKILFT,1,U278,1,Yes, ,I, , ,TBD,TBD,SMD,?, 
17,21050W700-426-G,"ASIC,Clock,LGA,16P,G",Renesas,9FGV1006BQ506LTGI8,1,U247,1,Yes, ,I, , ,TBD,TBD,SMD,?, 
18,21050W900-031-G,"ASIC,Clock,TSSOP,8P,G",NXP,PCF85063ATT/AJ,1,U197,1,Yes, ,I, , ,RTC,TBD,SMD,?, 
19,21081AQ00-426-G,"ASIC,Micro peripheral,QFN,68P,G",RENESAS,UPD720201K8-701-BAC-A,1,U159,3,Yes, ,I, , ,TBD,TBD,SMD,?, 
20,21082N400-232-G,"ASIC,Micro peripheral,QFN,64P,G",Microchip,USB2517I-JZX-TR,1,U156,3,Yes, ,I, , ,TBD,TBD,SMD,?, 
21,21082UE00-232-G,"ASIC,Micro peripheral,SQFN,36P,G",Microchip,USB2514BT-I/M2,1,U35,3,Yes, ,I, , ,TBD,TBD,SMD,?, 
22,21082VA00-348-G,"ASIC,Micro peripheral,88SE9215A1-NAA2C000,,QFN,76P,G",MARVELL,88SE9215A1-NAA2C000,1,U294,3,Yes, ,I, , ,SATA,TBD,SMD,?, 
23,210837000-190-G,"ASIC,Micro peripheral,ADM1266ACPZ,,LFCSP,64P,G",ADI,ADM1266ACPZ,2,"U54,U76",3,Yes, ,I, , ,TBD,TBD,SMD,?, 
24,220108T00-247-G,"PLD,333MHz,2.5V,CABGA,400P,G",LATTICE,LCMXO3LF-4300C-5BG400C,1,U95,3,Yes, ,I, , ,TBD,TBD,SMD,?, 
25,2A587MA00-G44-G,"Screw,1215 carbon steel,#6-32,30mm+5mm,Machine,ZINC,G,00",PEM,G-77076-ZI,1,MECH12,1,Yes, ,I, , ,MECHANICAL,-,?,?, 
26,2A587MR00-J2L-G,"Screw,carbon steel 1018,#6-32,9.53mm,Machine,blue and white zinc,G,00",TECHFORD,TF-FX-SC-T20101901,2,"MECH32,MECH35",1,Yes, ,I, , ,TBD,-,?,?, 
27,2A591V300-G44-G,"Nut,Low Carbon steel,#6-32,15.03,5.28,7.14,TIN,N/A,G,00",PEM,YSMTSO-71563-ET,8,"MECH2,MECH3,MECH5,MECH6,MECH8,MECH9,MECH13,MECH14",1,Yes, ,I, , ,TBD,TBD,?,?, 
28,2A6008V00-G44-G,"Column bolt,Carbon Steel,3.1mm,7.1,Zine Plating,G,00",PEM,SMTSO-632-2ET,5,"MECH1,MECH4,MECH7,MECH10,MECH15",1,Yes, ,I, , ,TBD,TBD,?,?, 
29,2A630BC00-G54-G,"Handle,PA6+30%GF,6-32,G,00",SOUTHCO,P8-99-228,2,"MECH11,MECH16",1,Yes, ,I, , ,MECHANICAL,-,?,?, 
30,310102100-183-G,"Logic IC,Gate&Inverter,1.65V~5.5V,3.6ns,SC-70/SOT-323,5P,G",TI,SN74LVC1G08DCKR,1,U179,1,Yes, ,I, , ,TBD,TBD,SMD,?, 
31,310103J00-223-G,"LogicIC,Gate&Inverter,1.65V~5.5V,12.7ns,SC-88A/SOT-353,5P,G",ON,NL17SZ08DFT2G,1,U203,1,Yes, ,I, , ,TBD,TBD,SMD,?, 
32,31010RE00-237-G,"Logic IC,Gate&Inverter,1.65V~5.5V,11ns,DFN,6P,G",DIODES,74LVC2G14FZ4-7,2,"U38,U58",1,Yes, ,I, , ,TBD,TBD,SMD,?, 
33,310306800-183-G,"Logic IC,Switch,2.3V~5.5V,1ns,TSSOP,24P,G",TI,PCA9548APWR,4,"U130,U131,U132,U151",1,Yes, ,I, , ,TBD,3,SMD,?, 
34,310311K00-252-G,"Logic IC,Switch,PI3USB102ZLEX,2.7V~4.2V,0.25ns,TQFN,10P,G",PERICOM,PI3USB102ZLEX,3,"U91,U160,U180",1,Yes, ,I, , ,TBD,TBD,SMD,?, 
35,310406L00-183-G,"Logic IC,Multiplexer,1.65V~3.6V,999.9999ns,TSSOP,24P,G",TI,TS3A27518EPWR,1,U204,1,Yes, ,I, , ,TBD,TBD,SMD,?, 
36,31040AB00-183-G,"Logic IC,Multiplexer,1.2V~4.3V,999.9999ns,TSSOP,16P,G",TI,TS3A44159PWR,3,"SU49,SU50,SU53",1,Yes, ,I, , ,S0_S1_UART,TBD,SMD,?, 
37,31040AQ00-183-G,"Logic IC,Multiplexer,TMUX1072DGSR,2.3V~5.5V,0.2ns,VSSOP,10P,G",TI,TMUX1072DGSR,11,"U81,U82,U83,U84,U144,U145,U146,U147,U148,U150,U195",1,Yes, ,I, , ,TBD,TBD,SMD,?, 
