Item,HH_PN,DESCRIPTION,MFG,MFG_PN,Qty,Location,CCL,ROHS,REMARK,BOM,ADD,PROTO,ROOM,PSL,PCB_MOUNTING,SIDE_TYPE,SUB_SYSTEM
94,34062KE00-245-G,"Header&Socket Connector,Pin Header,2,DIP,LCP,2mm,3u"",Black,G",AMPHENOL,G8250021000YEU,5,"J76,J77,J78,J79,J80",1,Yes, ,NI, , ,TBD,4,DIP,?, 
141,52030RK00-223-G,"Diode,Schottky,30V,500mA,DSN,2P,G",ON,NSR05F30NXT5G,18,"D23,D24,D25,D26,D27,D28,D29,D30,D33,D34,D35,D36,D37,D38,D48,D49,D50,D103",1,Yes, ,NI, , ,TBD,TBD,SMD,?, 
151,521702P00-237-G,"TVS Diode,SMA/DO-214AC,2P,G",DIODES,SMAJ18A-13-F,1,D178,1,Yes, ,NI, , ,TBD,3,SMD,?, 
159,610100K00-011-G,"RES,thick film,22K Ohm,+/-1%,1/10W,SMD0603,G",YAGEO,RC0603FR-0722KL,1,R876,0,Yes, ,NI, , ,TBD,1,SMD,?, 
165,610102C00-011-G,"RES,thick film,15K Ohm,+/-5%,1/16W,SMD0402,G",YAGEO,RC0402JR-0715KL,1,R1292,0,Yes, ,NI, , ,P12V_STBY2,1,SMD,?, 
166,610102C00-011-G,"RES,thick film,15K Ohm,+/-5%,1/16W,SMD0402,G",YAGEO,RC0402JR-0715KL,1,R961,0,Yes, ,NI, , ,EFUSE_AUX_1,1,SMD,?, 
167,610103Y00-011-G,"RES,thick film,10 Ohm,+/-1%,1/10W,SMD0603,G",YAGEO,RC0603FR-0710RL,1,R1050,0,Yes, ,NI, , ,TBD,2,SMD,?, 
173,610107A00-011-G,"RES,thick film,0 Ohm,+/-5%,1/16W,SMD0402,G",YAGEO,RC0402JR-070RL,12,"R91,R94,R95,R97,R98,R121,R141,R154,R165,R242,R243,R244",0,Yes, ,NI, , ,TEMP_SENSOR,1,SMD,?, 
175,610107A00-011-G,"RES,thick film,0 Ohm,+/-5%,1/16W,SMD0402,G",YAGEO,RC0402JR-070RL,20,"R1291,R1295,R1570,R1571,R1572,R1573,R1574,R1575,R1576,R1577,R1578,R1579,R1580,R1581,R1582,R1583,R1584,R1585,R2656,R2657",0,Yes, ,NI, , ,X16 PCIE SLOT1,1,SMD,?, 
179,610107A00-011-G,"RES,thick film,0 Ohm,+/-5%,1/16W,SMD0402,G",YAGEO,RC0402JR-070RL,11,"R629,R697,R866,R869,R870,R883,R1617,R1809,R2018,R2020,R2808",0,Yes, ,NI, , ,TBD,1,SMD,?, 
183,610107A00-011-G,"RES,thick film,0 Ohm,+/-5%,1/16W,SMD0402,G",YAGEO,RC0402JR-070RL,8,"R378,R379,R380,R381,R382,R383,R384,R387",0,Yes, ,NI, , ,BMC_SIDEBAND,1,SMD,?, 
185,610107B00-011-G,"RES,thick film,4.7K Ohm,+/-5%,1/16W,SMD0402,G",YAGEO,RC0402JR-074K7L,4,"PR432,PR475,R2523,R2524",0,Yes, ,NI, , ,TBD,1,SMD,?, 
187,610107B00-011-G,"RES,thick film,4.7K Ohm,+/-5%,1/16W,SMD0402,G",YAGEO,RC0402JR-074K7L,2,"R256,R257",0,Yes, ,NI, , ,POWER_MONITOR,1,SMD,?, 
194,610108300-011-G,"RES,thick film,0 Ohm,+/-5%,1/10W,SMD0603,G",YAGEO,RC0603JR-070RL,1,R200,0,Yes, ,NI, , ,TBD,1,SMD,?, 
201,61010E500-011-G,"RES,thick film,75K Ohm,+/-1%,1/10W,SMD0603,G",YAGEO,RC0603FR-0775KL,1,R1663,0,Yes, ,NI, , ,TBD,2,SMD,?, 
207,61010G500-011-G,"RES,thick film,10K Ohm,+/-1%,1/16W,SMD0402,G",YAGEO,RC0402FR-0710KL,14,"PR147,PR214,PR358,PR425,PR5485,PR5486,R736,R738,R1188,R1189,R2202,R2500,R3141,R3145",0,Yes, ,NI, , ,TBD,1,SMD,?, 
208,61010G500-011-G,"RES,thick film,10K Ohm,+/-1%,1/16W,SMD0402,G",YAGEO,RC0402FR-0710KL,2,"R1713,R1716",0,Yes, ,NI, , ,EFUSE_AUX_1,1,SMD,?, 
211,61010G500-011-G,"RES,thick film,10K Ohm,+/-1%,1/16W,SMD0402,G",YAGEO,RC0402FR-0710KL,6,"R452,R633,R910,R912,R914,R916",0,Yes, ,NI, , ,FRU_EEPROM,1,SMD,?, 
214,61010JM00-011-G,"RES,thick film,1 Ohm,+/-1%,1/8W,SMD0805,G",YAGEO,RC0805FR-071RL,1,PR5492,0,Yes, ,NI, , ,TBD,1,SMD,?, 
217,61010L100-011-G,"RES,thick film,100K Ohm,+/-1%,1/16W,SMD0402,G",YAGEO,RC0402FR-07100KL,2,"PR5500,R233",0,Yes, ,NI, , ,TBD,1,SMD,?, 
219,61010L100-011-G,"RES,thick film,100K Ohm,+/-1%,1/16W,SMD0402,G",YAGEO,RC0402FR-07100KL,1,R1236,0,Yes, ,NI, , ,P3V3,1,SMD,?, 
221,61010L300-011-G,"RES,thick film,1K Ohm,+/-1%,1/16W,SMD0402,G",YAGEO,RC0402FR-071KL,76,"PR7,PR14,PR16,PR19,PR20,PR22,PR24,PR25,PR79,PR86,PR88,PR91,PR92,PR136,PR155,PR162,PR164,PR167,PR168,PR203,PR222,PR229,PR231,PR234,PR235,PR237,PR239,PR240,PR299,PR306,PR308,PR311,PR312,PR347,PR366,PR373,PR375,PR378,PR379,PR414,PR439,PR482,PR5558,PR5559,R1519,R1539,R1541,R1543,R1549,R1551,R1553,R1555,R1557,R1559,R1561,R1563,R1613,R2021,R2022,R2117,R2153,R2460,R2488,R2501,R2882,R2886,R2896,R2897,R2931,R2932,R2933,R2934,R2946,R2947,R2962,R2963",0,Yes, ,NI, , ,TBD,1,SMD,?, 
